eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
105.21,3.89,104.1,3.27,2243,0.0054349494,0.05859375,2.3629367,-0.006579712,0.14669812,0.5468855798244476,36,9216,261.57539423927665,589824
106.38,4.38,99.45,3.67,2240,0.0058761085,0.05891927,2.3799732,-0.005407034,0.19449694,0.44599151611328125,37,9472,268.88729448616505,606208
110.24,5.02,104.78,4.0,2321,0.0070713446,0.09136963,2.2677846,-0.005871407,0.2031162,0.4483770728111267,38,9728,275.9463122151792,622592
106.64,4.33,106.32,4.55,2291,0.005431076,0.05065918,2.4013035,-0.0050944104,0.18166547,0.40435731410980225,39,9984,283.09746300429106,638976
105.75,4.11,101.18,3.97,2340,0.0067536808,0.08581543,2.3181574,-0.0067960117,0.12212268,0.5835655033588409,40,10240,290.0988328270614,655360
106.62,4.5,104.77,3.84,2328,0.0059618144,0.07334391,2.3921752,-0.0057702684,0.15747271,0.5370450019836426,41,10496,297.1350761502981,671744
102.62,3.93,106.64,4.19,2302,0.0044680196,0.042541504,2.404555,-0.0047047487,0.16453236,0.4447818994522095,42,10752,304.25305158272386,688128
107.37,4.48,104.09,3.49,2281,0.006636257,0.079060875,2.335563,-0.00917394,0.17088693,0.5452013909816742,43,11008,311.4350500255823,704512
110.09,4.63,107.98,4.38,2321,0.0064173415,0.0797933,2.328121,-0.0076811574,0.16091108,0.5131632685661316,44,11264,318.4922838509083,720896
102.15,3.87,99.45,3.25,2317,0.0066671283,0.081075035,2.4376194,-0.0073651127,0.12869732,0.4622865915298462,45,11520,325.5628876835108,737280
98.96,4.26,99.04,3.58,2330,0.0055976785,0.064697266,2.4479542,-0.0063132495,0.17593437,0.40452098846435547,46,11776,332.5931716300547,753664
107.39,4.17,103.24,3.35,2291,0.007872204,0.10408529,2.323033,-0.008618067,0.16233279,0.5643413066864014,47,12032,339.74452509358525,770048
106.26,4.33,111.24,4.58,2307,0.007030336,0.08909098,2.2985406,-0.0073218937,0.15999009,0.5880065858364105,48,12288,346.84711293131113,786432
107.11,4.74,104.31,3.8,2296,0.007017786,0.09197998,2.3476298,-0.008476117,0.16520245,0.5829796493053436,49,12544,353.9808568544686,802816
112.38,4.84,106.03,4.16,2326,0.0067507606,0.08251953,2.3113365,-0.0070185247,0.1749494,0.5902372598648071,50,12800,361.02412716671824,819200
116.41,5.66,102.04,3.36,2382,0.00644204,0.07981364,2.3929527,-0.005722595,0.17655174,0.5852238237857819,51,13056,367.9010154157877,835584
111.62,5.22,100.13,3.55,2296,0.006440724,0.073506676,2.395191,-0.008164222,0.15869488,0.5280129909515381,52,13312,375.0357139147818,851968
119.38,5.79,113.71,4.95,2280,0.0054736156,0.05904134,2.3145685,-0.006969454,0.19656074,0.5504473447799683,53,13568,382.2217012271285,868352
116.05,5.52,103.49,3.92,2328,0.0054715895,0.063191734,2.3054235,-0.008625617,0.16549377,0.6191451549530029,54,13824,389.2583853676915,884736
109.29,5.03,106.47,3.75,2313,0.0072361846,0.09175619,2.2975657,-0.0090802945,0.16171682,0.6274495124816895,55,14080,396.34233095124364,901120
105.66,4.53,106.3,4.22,2271,0.0060901493,0.074808754,2.3957365,-0.00889193,0.16446246,0.5348183214664459,56,14336,403.5558462366462,917504
107.6,4.29,110.13,4.45,2312,0.0057031363,0.059509277,2.3699381,-0.0061964164,0.1871916,0.5431101620197296,57,14592,410.6432656571269,933888
112.49,5.62,107.73,4.22,2323,0.007772785,0.10028076,2.3451302,-0.010787795,0.19742407,0.5556665658950806,58,14848,417.695986751467,950272
117.14,6.14,107.07,4.2,2236,0.006988166,0.092427574,2.334952,-0.010996788,0.16532795,0.5830293595790863,59,15104,425.0221481695771,966656
